country,gold,silver,bronze,total,rank_by_total,participate,latitude,longitude
South Africa,1,2,0,3,60,yes,-30.559482,22.937506
Bahamas,2,0,0,2,66,yes,25.03428,-77.39628
Estonia,1,0,1,2,66,yes,58.595272,25.013607
Fiji,1,0,1,2,66,yes,-16.578193,179.414413
Finland,0,0,2,2,66,yes,61.92411,25.748151
Jordan,0,1,1,2,66,yes,30.585164,36.238414
Kosovo,2,0,0,2,66,yes,42.602636,20.902977
Latvia,1,0,1,2,66,yes,56.879635,24.603189
Malaysia,0,1,1,2,66,yes,4.210484,101.975766
Nigeria,0,1,1,2,66,yes,9.081999,8.675277
Thailand,1,0,1,2,66,yes,15.870032,100.992541
Tunisia,1,1,0,2,66,yes,33.886917,9.537499
Bahrain,0,1,0,1,77,yes,25.930414,50.637772
Bermuda,1,0,0,1,77,yes,32.321384,-64.75737
Botswana,0,0,1,1,77,yes,-22.328474,24.684866
Burkina Faso,0,0,1,1,77,yes,12.238333,-1.561593
Cote d'Ivoire,0,0,1,1,77,yes,7.539989,-5.54708
Ghana,0,0,1,1,77,yes,7.946527,-1.023194
Grenada,0,0,1,1,77,yes,12.262776,-61.604171
Kuwait,0,0,1,1,77,yes,29.31166,47.481766
Lithuania,0,1,0,1,77,yes,55.169438,23.881275
Moldova,0,0,1,1,77,yes,47.411631,28.369885
Morocco,1,0,0,1,77,yes,31.791702,-7.09262
Namibia,0,1,0,1,77,yes,-22.95764,18.49041
North Macedonia,0,1,0,1,77,yes,41.608635,21.745275
Puerto Rico,1,0,0,1,77,yes,18.220833,-66.590149
Saudi Arabia,0,1,0,1,77,yes,23.885942,45.079162
Syria,0,0,1,1,77,yes,34.802075,38.996815
Turkmenistan,0,1,0,1,77,yes,38.969719,59.556278
